[paso 00078] tick=00078 serv=4/50 cov=8.0% energia_prom=565.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00079] tick=00079 serv=4/50 cov=8.0% energia_prom=563.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00080] tick=00080 serv=4/50 cov=8.0% energia_prom=562.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00081] tick=00081 serv=4/50 cov=8.0% energia_prom=561.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00082] tick=00082 serv=4/50 cov=8.0% energia_prom=560.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00083] tick=00083 serv=4/50 cov=8.0% energia_prom=558.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00084] tick=00084 serv=4/50 cov=8.0% energia_prom=557.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00085] tick=00085 serv=4/50 cov=8.0% energia_prom=556.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00086] tick=00086 serv=4/50 cov=8.0% energia_prom=555.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00087] tick=00087 serv=4/50 cov=8.0% energia_prom=554.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00088] tick=00088 serv=4/50 cov=8.0% energia_prom=552.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00089] tick=00089 serv=4/50 cov=8.0% energia_prom=551.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00090] tick=00090 serv=4/50 cov=8.0% energia_prom=550.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00091] tick=00091 serv=4/50 cov=8.0% energia_prom=549.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00092] tick=00092 serv=4/50 cov=8.0% energia_prom=547.9 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00093] tick=00093 serv=4/50 cov=8.0% energia_prom=546.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00094] tick=00094 serv=4/50 cov=8.0% energia_prom=545.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00095] tick=00095 serv=4/50 cov=8.0% energia_prom=544.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00096] tick=00096 serv=4/50 cov=8.0% energia_prom=543.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00097] tick=00097 serv=4/50 cov=8.0% energia_prom=542.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00098] tick=00098 serv=4/50 cov=8.0% energia_prom=540.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00099] tick=00099 serv=4/50 cov=8.0% energia_prom=539.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00100] tick=00100 serv=4/50 cov=8.0% energia_prom=538.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00101] tick=00101 serv=4/50 cov=8.0% energia_prom=537.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00102] tick=00102 serv=4/50 cov=8.0% energia_prom=536.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00103] tick=00103 serv=4/50 cov=8.0% energia_prom=534.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00104] tick=00104 serv=4/50 cov=8.0% energia_prom=533.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00105] tick=00105 serv=4/50 cov=8.0% energia_prom=532.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00106] tick=00106 serv=4/50 cov=8.0% energia_prom=531.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00107] tick=00107 serv=4/50 cov=8.0% energia_prom=529.9 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00108] tick=00108 serv=4/50 cov=8.0% energia_prom=528.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00109] tick=00109 serv=4/50 cov=8.0% energia_prom=527.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00110] tick=00110 serv=4/50 cov=8.0% energia_prom=526.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00111] tick=00111 serv=4/50 cov=8.0% energia_prom=525.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00112] tick=00112 serv=4/50 cov=8.0% energia_prom=523.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00113] tick=00113 serv=4/50 cov=8.0% energia_prom=522.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00114] tick=00114 serv=4/50 cov=8.0% energia_prom=521.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00115] tick=00115 serv=4/50 cov=8.0% energia_prom=520.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
