episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
152,0.44000,-4.58579,-0.19376,lurigancho_fixed,0.018736,0.086134,303.130,41153.614
153,0.56000,-4.47620,-0.12250,lurigancho_fixed,0.008511,0.000523,305.090,41458.707
154,0.50000,-4.58752,-0.30360,lurigancho_fixed,0.382696,76.306519,304.714,41763.424
155,0.74000,-4.65488,-0.24524,lurigancho_fixed,0.028514,0.007987,305.652,42069.079
156,0.70000,-4.30874,-0.03402,lurigancho_fixed,-0.164009,676.064575,303.591,42372.672
157,0.70000,-4.36129,-0.21031,lurigancho_fixed,0.041219,0.200503,305.163,42677.837
158,0.68000,-4.07603,0.02248,lurigancho_fixed,-0.178120,2.205231,305.453,42983.292
159,0.64000,-3.86144,0.13398,lurigancho_fixed,0.066203,0.023913,308.814,43292.109
160,0.64000,-3.66959,0.20782,lurigancho_fixed,0.081263,0.038274,306.870,43598.982
161,0.60000,-3.63005,0.08705,lurigancho_fixed,0.526986,4.695372,305.343,43904.327
162,0.58000,-3.28609,0.31204,lurigancho_fixed,-0.295575,5.707563,302.784,44207.113
163,0.48000,-3.19630,0.22233,lurigancho_fixed,0.090722,0.346822,302.463,44509.578
164,0.50000,-3.07194,0.24629,lurigancho_fixed,0.040046,0.459112,305.997,44815.578
165,0.58000,-3.39063,-0.18678,lurigancho_fixed,0.074413,0.022872,308.839,45124.419
166,0.70000,-3.60405,-0.40143,lurigancho_fixed,-0.080675,1.331138,307.009,45431.430
167,0.56000,-3.36131,-0.07643,lurigancho_fixed,0.162703,0.304319,306.452,45737.884
168,0.52000,-3.44105,-0.18098,lurigancho_fixed,0.080726,0.042056,304.163,46042.049
169,0.56000,-3.38200,-0.17708,lurigancho_fixed,0.062363,0.015666,307.468,46349.520
170,0.54000,-3.00765,0.21583,lurigancho_fixed,0.139957,0.093244,307.706,46657.228
171,0.50000,-2.93070,0.13742,lurigancho_fixed,0.134313,0.067038,304.284,46961.514
172,0.52000,-2.94552,0.05604,lurigancho_fixed,-0.209277,3.000986,303.847,47265.364
173,0.52000,-2.91995,-0.01944,lurigancho_fixed,-0.010093,0.324972,306.323,47571.689
174,0.44000,-2.74379,0.16856,lurigancho_fixed,0.030115,0.394987,307.557,47879.248
175,0.44000,-2.77084,0.06334,lurigancho_fixed,0.114103,0.035723,303.565,48182.815
176,0.40000,-2.72598,0.11180,lurigancho_fixed,0.140850,0.055221,304.594,48487.411
177,0.56000,-3.06150,-0.25232,lurigancho_fixed,-0.116580,0.906369,305.360,48792.773
178,0.48000,-2.89300,0.05240,lurigancho_fixed,0.135953,0.257418,305.778,49098.554
179,0.46000,-2.74228,0.18702,lurigancho_fixed,0.165236,0.151993,307.659,49406.214
180,0.52000,-2.94963,-0.10507,lurigancho_fixed,-0.326262,3.306033,309.043,49715.260
181,0.50000,-3.30413,-0.43300,lurigancho_fixed,0.029139,0.002525,303.911,50019.173
182,0.54000,-3.16424,-0.16847,lurigancho_fixed,0.064784,0.042171,304.507,50323.682
183,0.54000,-3.27430,-0.23665,lurigancho_fixed,0.039110,0.006049,305.396,50629.081
184,0.48000,-3.20709,-0.09041,lurigancho_fixed,-0.067391,0.501543,305.542,50934.625
185,0.62000,-3.28734,-0.16043,lurigancho_fixed,0.053860,0.024290,305.053,51239.681
186,0.52000,-3.37876,-0.24646,lurigancho_fixed,0.041965,0.007075,301.755,51541.438
187,0.52000,-3.46401,-0.27626,lurigancho_fixed,-0.079383,0.387687,301.773,51843.213
188,0.44000,-3.88471,-0.59997,lurigancho_fixed,0.000633,0.000231,300.567,52143.782
189,0.52000,-3.99421,-0.58032,lurigancho_fixed,-0.134883,1.192803,303.295,52447.079
190,0.46000,-3.80033,-0.23438,lurigancho_fixed,0.064687,0.030726,301.766,52748.847
191,0.42000,-3.48083,0.04882,lurigancho_fixed,0.153522,0.330488,301.984,53050.834
192,0.50000,-3.50746,-0.03898,lurigancho_fixed,-0.093061,0.837357,302.616,53353.453
193,0.52000,-4.24266,-0.80418,lurigancho_fixed,-0.013667,0.049100,212.361,53565.817
194,0.46000,-3.99641,-0.29147,lurigancho_fixed,0.016687,0.004206,165.696,53731.518
195,0.60000,-4.10783,-0.39234,lurigancho_fixed,0.049512,0.008543,113.986,53845.506
196,0.70000,-4.30173,-0.61405,lurigancho_fixed,-0.174758,2.547717,169.468,54014.975
197,0.62000,-4.51599,-0.57996,lurigancho_fixed,0.038540,0.060050,135.889,54150.867
198,0.50000,-4.08738,-0.10122,lurigancho_fixed,-0.010905,0.027758,251.649,54402.517
199,0.74000,-4.48799,-0.54237,lurigancho_fixed,0.051346,0.000156,247.145,54649.664
200,0.84000,-4.36281,-0.40409,lurigancho_fixed,-0.064305,0.382624,246.185,54895.852
201,0.74000,-4.67154,-0.61616,lurigancho_fixed,-0.003355,0.033070,242.989,55138.843
202,0.64000,-4.94157,-0.72293,lurigancho_fixed,-0.181447,0.774071,228.598,55367.442
203,0.72000,-4.92256,-0.57496,lurigancho_fixed,-0.544938,7.603260,237.338,55604.782
204,0.76000,-5.39290,-0.97835,lurigancho_fixed,0.215708,14.003768,252.863,55857.653
205,0.76000,-4.69620,-0.02156,lurigancho_fixed,-0.297847,23.098316,231.355,56089.013
206,0.74000,-5.58491,-0.97441,lurigancho_fixed,-0.369746,18.679258,229.490,56318.505
207,0.64000,-5.35876,-0.51984,lurigancho_fixed,0.296659,19.825834,234.855,56553.361
