episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
228,0.42000,7.14241,-0.19743,lurigancho_random,0.084102,8.744919,44.674,9414.183
229,0.40000,7.10884,-0.02655,lurigancho_random,-0.217485,65.295540,45.386,9459.570
230,0.62000,7.20103,0.06334,lurigancho_random,0.140136,24.451643,44.910,9504.481
231,0.48000,7.32231,0.12311,lurigancho_random,-0.246115,72.036339,44.336,9548.819
232,0.52000,7.16939,0.03496,lurigancho_random,0.072255,23.408955,44.819,9593.639
233,0.48000,7.39981,0.22800,lurigancho_random,-0.126735,49.575058,44.570,9638.210
234,0.40000,6.93707,-0.38629,lurigancho_random,0.241756,4.000950,45.337,9683.550
235,0.52000,7.10366,0.03121,lurigancho_random,0.099355,13.883779,45.127,9728.677
236,0.50000,7.25591,0.10298,lurigancho_random,0.012541,25.223434,46.112,9774.791
237,0.50000,6.86522,-0.44309,lurigancho_random,0.064990,57.119415,45.370,9820.162
238,0.56000,7.04686,-0.01241,lurigancho_random,0.029295,27.091455,45.612,9865.775
239,0.52000,7.25487,0.13298,lurigancho_random,-0.040645,31.480808,45.159,9910.936
240,0.76000,8.31339,1.01139,lurigancho_random,0.185544,13.488982,45.879,9956.816
241,0.62000,7.62307,0.03474,lurigancho_random,-0.171984,43.654045,45.361,10002.178
242,0.68000,8.25270,0.72134,lurigancho_random,-0.170372,50.456139,44.751,10046.929
243,0.68000,7.14636,-0.65722,lurigancho_random,0.016361,61.957600,45.302,10092.232
244,0.22000,6.08578,-1.49585,lurigancho_random,-0.010646,15.274303,44.952,10137.186
245,0.70000,7.61059,0.31752,lurigancho_random,0.041158,21.936430,45.758,10182.946
246,0.56000,7.68893,0.25596,lurigancho_random,0.060888,22.875473,45.111,10228.058
247,0.54000,7.07339,-0.44857,lurigancho_random,0.174472,34.906303,45.411,10273.471
248,0.72000,8.63428,1.34998,lurigancho_random,-0.135742,53.026897,45.733,10319.206
